item_code,item_description,MRP,BP,MOQ
1SDA067445R1,XT1S 160 TMD 125-1250 4p F F InN=100%,22270,0,0
1SDA067446R1,XT1S 160 TMD 160-1600 4p F F InN=100%,24840,0,0
1SDA080835R1,XT1H 160 TMF 16-450 3p F F,15620,0,0
1SDA080836R1,XT1H 160 TMF 20-450 3p F F,15620,0,0
1SDA080837R1,XT1H 160 TMD 25-450 3p F F,15620,0,0
1SDA080838R1,XT1H 160 TMD 32-450 3p F F,15620,0,0
1SDA080839R1,XT1H 160 TMD 40-450 3p F F,15620,0,0
1SDA067449R1,XT1H 160 TMD 50-500 3p F F,15620,0,0
1SDA067450R1,XT1H 160 TMD 63-630 3p F F,15620,0,0
1SDA067451R1,XT1H 160 TMD 80-800 3p F F,15620,0,0
1SDA067452R1,XT1H 160 TMD 100-1000 3p F F,15620,0,0
1SDA067453R1,XT1H 160 TMD 125-1250 3p F F,22550,0,0
1SDA067454R1,XT1H 160 TMD 160-1600 3p F F,25720,0,0
1SDA080850R1,XT1H 160 TMF 16-450 4p F F,21690,0,0
1SDA080851R1,XT1H 160 TMF 20-450 4p F F,21690,0,0
1SDA080852R1,XT1H 160 TMD 25-450 4p F F,21690,0,0
1SDA080853R1,XT1H 160 TMD 32-450 4p F F,21690,0,0
1SDA080854R1,XT1H 160 TMD 40-450 4p F F,21690,0,0
1SDA067457R1,XT1H 160 TMD 50-500 4p F F,21690,0,0
1SDA067458R1,XT1H 160 TMD 63-630 4p F F,21690,0,0
1SDA067459R1,XT1H 160 TMD 80-800 4p F F,21690,0,0
1SDA067460R1,XT1H 160 TMD 100-1000 4p F F,21690,0,0
1SDA067463R1,XT1H 160 TMD 125-1250 4p F F InN=100%,26670,0,0
1SDA067464R1,XT1H 160 TMD 160-1600 4p F F InN=100%,28200,0,0
1SDA068058R1,XT3N 250 TMD 200-2000 3p F F,22100,0,0
1SDA068059R1,XT3N 250 TMD 250-2500 3p F F,25660,0,0
1SDA068069R1,XT3N 250 TMD 200-2000 4p F F InN=100%,24320,0,0
1SDA068070R1,XT3N 250 TMD 250-2500 4p F F InN=100%,29020,0,0
1SDA068220R1,XT3S 250 TMD 200-2000 3p F F,24470,0,0
1SDA068221R1,XT3S 250 TMD 250-2500 3p F F,27220,0,0
1SDA068231R1,XT3S 250 TMD 200-2000 4p F F InN=100%,28420,0,0
1SDA068232R1,XT3S 250 TMD 250-2500 4p F F InN=100%,31190,0,0
1SDA067000R1,"XT2N 160 TMD 1,6-16 3p F F",15000,0,0
1SDA067001R1,XT2N 160 TMD 2-20 3p F F,15000,0,0
1SDA067002R1,"XT2N 160 TMD 2,5-25 3p F F",15000,0,0
1SDA067003R1,"XT2N 160 TMD 3,2-32 3p F F",15000,0,0
1SDA067004R1,XT2N 160 TMD 4-40 3p F F,15000,0,0
1SDA067005R1,XT2N 160 TMD 5-50 3p F F,15000,0,0
1SDA067006R1,"XT2N 160 TMD 6,3-63 3p F F",15000,0,0
1SDA067007R1,XT2N 160 TMD 8-80 3p F F,15000,0,0
1SDA067008R1,XT2N 160 TMD 10-100 3p F F,15000,0,0
1SDA067009R1,"XT2N 160 TMD 12,5-125 3p F F",15000,0,0
1SDA067010R1,XT2N 160 TMD 16-300 3p F F,14520,0,0
1SDA067011R1,XT2N 160 TMD 20-300 3p F F,14520,0,0
1SDA067012R1,XT2N 160 TMD 25-300 3p F F,14520,0,0
1SDA067013R1,XT2N 160 TMD 32-320 3p F F,14520,0,0
1SDA067014R1,XT2N 160 TMA 40-400 3p F F,14520,0,0
1SDA067015R1,XT2N 160 TMA 50-500 3p F F,14520,0,0
1SDA067016R1,XT2N 160 TMA 63-630 3p F F,14520,0,0
1SDA067017R1,XT2N 160 TMA 80-800 3p F F,14520,0,0
1SDA067018R1,XT2N 160 TMA 100-1000 3p F F,14520,0,0
1SDA067019R1,XT2N 160 TMA 125-1250 3p F F,18840,0,0
1SDA067020R1,XT2N 160 TMA 160-1600 3p F F,20250,0,0
1SDA067021R1,"XT2N 160 TMD 1,6-16 4p F F",19460,0,0
1SDA067022R1,XT2N 160 TMD 2-20 4p F F,19460,0,0
1SDA067023R1,"XT2N 160 TMD 2,5-25 4p F F",19460,0,0
1SDA067024R1,"XT2N 160 TMD 3,2-32 4p F F",19460,0,0
1SDA067025R1,XT2N 160 TMD 4-40 4p F F,19460,0,0
1SDA067026R1,XT2N 160 TMD 5-50 4p F F,19460,0,0
1SDA067027R1,"XT2N 160 TMD 6,3-63 4p F F",19460,0,0
1SDA067028R1,XT2N 160 TMD 8-80 4p F F,19460,0,0
1SDA067029R1,XT2N 160 TMD 10-100 4p F F,19460,0,0
1SDA067030R1,"XT2N 160 TMD 12,5-125 4p F F",19460,0,0
1SDA067031R1,XT2N 160 TMD 16-300 4p F F,17360,0,0
1SDA067032R1,XT2N 160 TMD 20-300 4p F F,17360,0,0
1SDA067033R1,XT2N 160 TMD 25-300 4p F F,17360,0,0
1SDA067034R1,XT2N 160 TMD 32-320 4p F F,17360,0,0
1SDA067035R1,XT2N 160 TMA 40-400 4p F F,17360,0,0
1SDA067036R1,XT2N 160 TMA 50-500 4p F F,17360,0,0
1SDA067037R1,XT2N 160 TMA 63-630 4p F F,17360,0,0
1SDA067038R1,XT2N 160 TMA 80-800 4p F F,17360,0,0
1SDA067039R1,XT2N 160 TMA 100-1000 4p F F,17360,0,0
1SDA067042R1,XT2N 160 TMA 125-1250 4p F F InN=100%,24530,0,0
1SDA067043R1,XT2N 160 TMA 160-1600 4p F F InN=100%,27510,0,0
1SDA067540R1,"XT2S 160 TMD 1,6-16 3p F F",16600,0,0
1SDA067541R1,XT2S 160 TMD 2-20 3p F F,16600,0,0
1SDA067542R1,"XT2S 160 TMD 2,5-25 3p F F",16600,0,0
1SDA067543R1,"XT2S 160 TMD 3,2-32 3p F F",16600,0,0
1SDA067544R1,XT2S 160 TMD 4-40 3p F F,16600,0,0
1SDA067545R1,XT2S 160 TMD 5-50 3p F F,16600,0,0
1SDA067546R1,"XT2S 160 TMD 6,3-63 3p F F",16600,0,0
1SDA067547R1,XT2S 160 TMD 8-80 3p F F,16600,0,0
1SDA067548R1,XT2S 160 TMD 10-100 3p F F,16600,0,0
1SDA067549R1,"XT2S 160 TMD 12,5-125 3p F F",16600,0,0
1SDA067550R1,XT2S 160 TMD 16-300 3p F F,15410,0,0
1SDA067551R1,XT2S 160 TMD 20-300 3p F F,15410,0,0
1SDA067552R1,XT2S 160 TMD 25-300 3p F F,15410,0,0
1SDA067553R1,XT2S 160 TMD 32-320 3p F F,15410,0,0
1SDA067554R1,XT2S 160 TMA 40-400 3p F F,15410,0,0
1SDA067555R1,XT2S 160 TMA 50-500 3p F F,15410,0,0
1SDA067556R1,XT2S 160 TMA 63-630 3p F F,15410,0,0
1SDA067557R1,XT2S 160 TMA 80-800 3p F F,15410,0,0
1SDA067558R1,XT2S 160 TMA 100-1000 3p F F,15410,0,0
1SDA067559R1,XT2S 160 TMA 125-1250 3p F F,22910,0,0
1SDA067560R1,XT2S 160 TMA 160-1600 3p F F,24220,0,0
1SDA067561R1,"XT2S 160 TMD 1,6-16 4p F F",21050,0,0
1SDA067562R1,XT2S 160 TMD 2-20 4p F F,21050,0,0
1SDA067563R1,"XT2S 160 TMD 2,5-25 4p F F",21050,0,0
1SDA067564R1,"XT2S 160 TMD 3,2-32 4p F F",21050,0,0
1SDA067565R1,XT2S 160 TMD 4-40 4p F F,21050,0,0
1SDA067566R1,XT2S 160 TMD 5-50 4p F F,21050,0,0
1SDA067567R1,"XT2S 160 TMD 6,3-63 4p F F",21050,0,0
1SDA067568R1,XT2S 160 TMD 8-80 4p F F,21050,0,0
1SDA067569R1,XT2S 160 TMD 10-100 4p F F,21050,0,0
1SDA067570R1,"XT2S 160 TMD 12,5-125 4p F F",21050,0,0
1SDA067571R1,XT2S 160 TMD 16-300 4p F F,19310,0,0
1SDA067572R1,XT2S 160 TMD 20-300 4p F F,19310,0,0
1SDA067573R1,XT2S 160 TMD 25-300 4p F F,19310,0,0
1SDA067574R1,XT2S 160 TMD 32-320 4p F F,19310,0,0
1SDA067575R1,XT2S 160 TMA 40-400 4p F F,19310,0,0
1SDA067576R1,XT2S 160 TMA 50-500 4p F F,19310,0,0
1SDA067577R1,XT2S 160 TMA 63-630 4p F F,19310,0,0
1SDA067578R1,XT2S 160 TMA 80-800 4p F F,19310,0,0
1SDA067579R1,XT2S 160 TMA 100-1000 4p F F,19310,0,0
1SDA067582R1,XT2S 160 TMA 125-1250 4p F F InN=100%,29190,0,0
1SDA067583R1,XT2S 160 TMA 160-1600 4p F F InN=100%,30760,0,0
1SDA067584R1,"XT2H 160 TMD 1,6-16 3p F F",22530,0,0
1SDA067585R1,XT2H 160 TMD 2-20 3p F F,22530,0,0
1SDA067586R1,"XT2H 160 TMD 2,5-25 3p F F",22530,0,0
1SDA067587R1,"XT2H 160 TMD 3,2-32 3p F F",22530,0,0
1SDA067588R1,XT2H 160 TMD 4-40 3p F F,22530,0,0
1SDA067589R1,XT2H 160 TMD 5-50 3p F F,22530,0,0
1SDA067590R1,"XT2H 160 TMD 6,3-63 3p F F",22530,0,0
1SDA067591R1,XT2H 160 TMD 8-80 3p F F,22530,0,0
1SDA067592R1,XT2H 160 TMD 10-100 3p F F,22530,0,0
1SDA067593R1,"XT2H 160 TMD 12,5-125 3p F F",22530,0,0
1SDA067594R1,XT2H 160 TMD 16-300 3p F F,20570,0,0
1SDA067595R1,XT2H 160 TMD 20-300 3p F F,20570,0,0
1SDA067596R1,XT2H 160 TMD 25-300 3p F F,20570,0,0
1SDA067597R1,XT2H 160 TMD 32-320 3p F F,20570,0,0
1SDA067598R1,XT2H 160 TMA 40-400 3p F F,20570,0,0
1SDA067599R1,XT2H 160 TMA 50-500 3p F F,20570,0,0
1SDA067600R1,XT2H 160 TMA 63-630 3p F F,20570,0,0
1SDA067601R1,XT2H 160 TMA 80-800 3p F F,20570,0,0
1SDA067602R1,XT2H 160 TMA 100-1000 3p F F,20570,0,0
1SDA067603R1,XT2H 160 TMA 125-1250 3p F F,38080,0,0
1SDA067604R1,XT2H 160 TMA 160-1600 3p F F,38480,0,0
1SDA067605R1,"XT2H 160 TMD 1,6-16 4p F F",27320,0,0
1SDA067606R1,XT2H 160 TMD 2-20 4p F F,27320,0,0
1SDA067607R1,"XT2H 160 TMD 2,5-25 4p F F",27320,0,0
1SDA067608R1,"XT2H 160 TMD 3,2-32 4p F F",27320,0,0
1SDA067609R1,XT2H 160 TMD 4-40 4p F F,27320,0,0
1SDA067610R1,XT2H 160 TMD 5-50 4p F F,27320,0,0
1SDA067611R1,"XT2H 160 TMD 6,3-63 4p F F",27320,0,0
1SDA067612R1,XT2H 160 TMD 8-80 4p F F,27320,0,0
1SDA067613R1,XT2H 160 TMD 10-100 4p F F,27320,0,0
1SDA067614R1,"XT2H 160 TMD 12,5-125 4p F F",27320,0,0
1SDA067615R1,XT2H 160 TMD 16-300 4p F F,26380,0,0
1SDA067616R1,XT2H 160 TMD 20-300 4p F F,26380,0,0
1SDA067617R1,XT2H 160 TMD 25-300 4p F F,26380,0,0
1SDA067618R1,XT2H 160 TMD 32-320 4p F F,26380,0,0
1SDA067619R1,XT2H 160 TMA 40-400 4p F F,26380,0,0
1SDA067620R1,XT2H 160 TMA 50-500 4p F F,26380,0,0
1SDA067621R1,XT2H 160 TMA 63-630 4p F F,26380,0,0
1SDA067622R1,XT2H 160 TMA 80-800 4p F F,26380,0,0
1SDA067623R1,XT2H 160 TMA 100-1000 4p F F,26380,0,0
1SDA067626R1,XT2H 160 TMA 125-1250 4p F F InN=100%,38910,0,0
1SDA067627R1,XT2H 160 TMA 160-1600 4p F F InN=100%,41270,0,0
1SDA068090R1,XT4N 250 TMA 200-2000 3p F F,26560,0,0
1SDA068091R1,XT4N 250 TMA 225-2250 3p F F,27350,0,0
1SDA068092R1,XT4N 250 TMA 250-2500 3p F F,30420,0,0
1SDA068109R1,XT4N 250 TMA 200-2000 4p F F InN=100%,33580,0,0
1SDA068110R1,XT4N 250 TMA 225-2250 4p F F InN=100%,33700,0,0
1SDA068111R1,XT4N 250 TMA 250-2500 4p F F InN=100%,34780,0,0
1SDA068310R1,XT4S 250 TMA 200-2000 3p F F,28410,0,0
1SDA068311R1,XT4S 250 TMA 225-2250 3p F F,30820,0,0
1SDA068312R1,XT4S 250 TMA 250-2500 3p F F,32640,0,0
1SDA068329R1,XT4S 250 TMA 200-2000 4p F F InN=100%,36790,0,0
1SDA068330R1,XT4S 250 TMA 225-2250 4p F F InN=100%,37210,0,0
1SDA068331R1,XT4S 250 TMA 250-2500 4p F F InN=100%,37960,0,0
1SDA068343R1,XT4H 250 TMA 200-2000 3p F F,42740,0,0
1SDA068344R1,XT4H 250 TMA 225-2250 3p F F,43850,0,0
1SDA068345R1,XT4H 250 TMA 250-2500 3p F F,44160,0,0
1SDA068362R1,XT4H 250 TMA 200-2000 4p F F InN=100%,50900,0,0
1SDA068363R1,XT4H 250 TMA 225-2250 4p F F InN=100%,51410,0,0
1SDA068364R1,XT4H 250 TMA 250-2500 4p F F InN=100%,51720,0,0
1SDA067054R1,XT2N 160 Ekip LS/I In=10A 3p F F,22980,0,0
1SDA067055R1,XT2N 160 Ekip LS/I In=25A 3p F F,22980,0,0
1SDA067056R1,XT2N 160 Ekip LS/I In=63A 3p F F,20540,0,0
1SDA067057R1,XT2N 160 Ekip LS/I In=100A 3p F F,20540,0,0
1SDA067058R1,XT2N 160 Ekip LS/I In=160A 3p F F,24360,0,0
1SDA067090R1,XT2N 160 Ekip LS/I In=10A 4p F F,28950,0,0
1SDA067091R1,XT2N 160 Ekip LS/I In=25A 4p F F,28950,0,0
1SDA067092R1,XT2N 160 Ekip LS/I In=63A 4p F F,25180,0,0
1SDA067093R1,XT2N 160 Ekip LS/I In=100A 4p F F,25180,0,0
1SDA067095R1,XT2N 160 Ekip LS/I In=160A 4pFF InN=100%,34010,0,0
1SDA067800R1,XT2S 160 Ekip LS/I In=10A 3p F F,27470,0,0
1SDA067801R1,XT2S 160 Ekip LS/I In=25A 3p F F,27470,0,0
1SDA067802R1,XT2S 160 Ekip LS/I In=63A 3p F F,23760,0,0
1SDA067803R1,XT2S 160 Ekip LS/I In=100A 3p F F,23760,0,0
1SDA067804R1,XT2S 160 Ekip LS/I In=160A 3p F F,30040,0,0
1SDA067833R1,XT2S 160 Ekip LS/I In=10A 4p F F,34040,0,0
1SDA067834R1,XT2S 160 Ekip LS/I In=25A 4p F F,34040,0,0
1SDA067835R1,XT2S 160 Ekip LS/I In=63A 4p F F,33100,0,0
1SDA067836R1,XT2S 160 Ekip LS/I In=100A 4p F F,33100,0,0
1SDA067838R1,XT2S 160 Ekip LS/I In=160A 4pFF InN=100%,39580,0,0
1SDA067857R1,XT2H 160 Ekip LS/I In=10A 3p F F,31110,0,0
1SDA067858R1,XT2H 160 Ekip LS/I In=25A 3p F F,31110,0,0
1SDA067859R1,XT2H 160 Ekip LS/I In=63A 3p F F,30450,0,0
1SDA067860R1,XT2H 160 Ekip LS/I In=100A 3p F F,30450,0,0
1SDA067861R1,XT2H 160 Ekip LS/I In=160A 3p F F,39830,0,0
1SDA067890R1,XT2H 160 Ekip LS/I In=10A 4p F F,38070,0,0
1SDA067891R1,XT2H 160 Ekip LS/I In=25A 4p F F,38070,0,0
1SDA067892R1,XT2H 160 Ekip LS/I In=63A 4p F F,37980,0,0
1SDA067893R1,XT2H 160 Ekip LS/I In=100A 4p F F,37980,0,0
1SDA067895R1,XT2H 160 Ekip LS/I In=160A 4pFF InN=100%,49880,0,0
1SDA068126R1,XT4N 250 Ekip LS/I In=250A 3p F F,32940,0,0
1SDA068147R1,XT4N 250 Ekip LS/I In=250A 4p F F,46100,0,0
1SDA068475R1,XT4S 250 Ekip LS/I In=250A 3p F F,37610,0,0
1SDA068495R1,XT4S 250 Ekip LS/I In=250A 4p F F,49370,0,0
1SDA068515R1,XT4H 250 Ekip LS/I In=250A 3p F F,43040,0,0
1SDA068535R1,XT4H 250 Ekip LS/I In=250A 4p F F,63340,0,0
1SDA067072R1,XT2N 160 Ekip LSIG In=10A 3p F F,42510,0,0
1SDA067073R1,XT2N 160 Ekip LSIG In=25A 3p F F,42510,0,0
1SDA067074R1,XT2N 160 Ekip LSIG In=63A 3p F F,41460,0,0
1SDA067075R1,XT2N 160 Ekip LSIG In=100A 3p F F,41460,0,0
1SDA067076R1,XT2N 160 Ekip LSIG In=160A 3p F F,45100,0,0
1SDA067108R1,XT2N 160 Ekip LSIG In=10A 4p F F,50830,0,0
1SDA067109R1,XT2N 160 Ekip LSIG In=25A 4p F F,50830,0,0
1SDA067110R1,XT2N 160 Ekip LSIG In=63A 4p F F,47920,0,0
1SDA067111R1,XT2N 160 Ekip LSIG In=100A 4p F F,47920,0,0
1SDA067113R1,XT2N 160 Ekip LSIG In=160A 4p FF In=100%,55170,0,0
1SDA067815R1,XT2S 160 Ekip LSIG In=10A 3p F F,45490,0,0
1SDA067816R1,XT2S 160 Ekip LSIG In=25A 3p F F,45490,0,0
1SDA067817R1,XT2S 160 Ekip LSIG In=63A 3p F F,44230,0,0
